X1,X2,X3
47.4,49.3,3
69,78.6,4
71.8,66.8,1
58.2,101.5,5
38.3,36.2,3
39.8,41.6,4
63.4,66.9,2
56.8,25.4,4
50.8,57.8,3
60.8,68.7,3
52.2,48.7,2
59,64.5,1
62.2,61.8,4
50.2,51.1,1
65.7,38.1,2
50.2,46,3
56.5,41.9,1
69.4,78.9,3
49.4,80.2,5
40.8,30.6,1
45,88.6,1
49.5,64,3
57.1,45.3,1
76.5,64.2,4
53.4,82.4,2
23.2,53.9,2
58,68.8,2
60.8,61.6,3
57.5,70.4,3
47.6,59,1
55.4,33.4,1
48.8,56.9,4
76.5,76,3
48.9,91.8,2
57.8,73.2,2
60.7,47.4,3
51,62.7,1
72.1,58,4
57.3,36,2
50.7,76.9,2
23.8,70.3,1
34.9,52.6,3
38.2,74.6,2
29.2,97.2,3
46.9,36.9,1
48.1,46.2,4
59.3,58.1,3
40.5,57.6,3
54.2,62.8,5
65.3,64.6,4
29.4,43.1,3
37.1,38.1,3
51.2,75.1,3
61.3,86,4
62,72.1,2
75.5,45.1,2
56.8,77.8,4
42.8,92.4,1
75.8,68.4,3
49.8,53.3,4
52.2,51.5,2
54.8,48.2,2
62.6,40.9,3
52.9,69.2,2
67.8,34.1,3
42.9,69.7,1
55.9,63.5,2
50,48,4
57.6,42.2,4
60.1,73.4,1
38.8,63.8,1
52.4,53.2,2
67.5,60.8,2
73,29.5,2
43.8,58.9,4
47.5,58.7,4
59.4,67.7,3
61.2,71.5,2
71.9,63,3
60.4,80.1,2
56.9,48.2,1
52.6,26.9,2
75.5,70.5,2
56.3,33.3,3
66,82,2
42.1,93.4,2
66.3,60.2,4
80.4,39.3,2
55.1,51.8,1
46.9,42.3,3
51.7,36.1,3
75.9,56.9,4
59.1,28.7,2
52.9,84.8,3
82.3,59.4,3
75,75.1,1
57.3,54.8,3
44.4,35.4,4
58.2,43.3,2
54,61,3
53.2,61.8,3
48.1,31.1,4
27.2,56,2
62.4,51.5,2
51.8,38.2,4
30.1,63.8,1
44.7,78.2,2
73.6,107.7,1
31.2,75.7,2
83.9,36.5,3
35.8,85.9,3
62.9,59.7,3
66.9,56.1,3
49.8,70.3,1
68.3,79.3,4
71.7,55.8,1
53.6,70.5,3
55.6,43.2,3
45.6,53.7,2
59.9,75.8,3
55.8,83.6,3
52.9,26,3
51,49.2,3
64.1,61.7,1
63.8,75.7,5
50.8,46.5,5
67.5,103.2,1
67.2,32.8,1
53.7,40.5,4
69.9,77.2,3
61,-1.9,5
46.4,65.3,3
53.1,77.3,3
63.6,44.4,3
64.6,45.7,3
63.5,50.3,2
66.4,66.1,2
55.4,82.6,1
62.7,34.7,3
61.8,41.5,1
53.1,57.2,2
60.7,96.7,2
42.4,52.4,1
60,6.5,3
69.9,62.7,4
50,36,2
67.2,64.9,3
45.7,8.5,2
60.3,43.2,1
49.2,69.9,3
66.2,58.1,2
52.6,47.4,4
38.8,93.1,3
72.1,79.9,2
56.5,61.6,3
59.8,69.9,4
52.1,64.2,2
60.2,95.8,2
68.8,82.6,5
42.4,45.6,3
50.6,44.7,3
65.8,57.9,3
56.8,45.7,2
76.1,59,3
55.9,39.9,3
61.2,45.8,3
50.3,47.5,2
48.4,96.9,2
46,66.2,2
57.5,62.1,1
45.2,66.4,3
68.6,87.2,2
59.7,36.2,3
56.3,51.3,3
59.5,64.5,1
44.6,75.5,1
57,46.3,1
45.8,59.3,3
59.1,84.8,2
67.7,46.3,2
52.7,97.4,1
43.9,85.7,2
50.5,70.6,1
49.6,73.4,2
37.2,53.9,3
60.2,42.6,1
51,27.6,5
49.7,56.8,2
53.3,72.2,2
57.4,56.9,3
43.7,91.4,2
41.5,74.4,3
55,75.2,4
56.5,46,3
66,85.8,2
47.8,67.7,2
41.9,43.1,5
62,86.8,1
54.6,78.4,3
59.4,61.3,1
75.6,92.1,3
39.3,58.7,2
45.3,52.3,3
44.7,54.9,5
59.9,89.8,2
49.9,58.7,3
33,37.7,5
49.4,74.5,3
78.9,29.4,1
61.5,68.5,1
68.4,66.2,3
66.3,53.2,3
60.4,59.3,1
72,74,3
66.2,52.5,3
53.9,90.5,1
44.5,61.7,3
63,40.4,3
70.9,68.5,4
60.8,65.2,3
65.5,30.6,3
58.5,101.6,1
47.6,53.4,4
63.5,73.9,1
40.5,52.7,2
44,70.3,3
65.5,73.6,5
63.9,42.7,2
43.4,59.2,2
55.6,74.9,2
65.2,52.7,2
54.9,100.3,5
50.5,28.2,3
57.4,64.3,4
60.1,51.3,2
65.9,54.1,5
44.2,34.4,2
64.1,64.3,2
46.4,84.5,1
97.3,52.8,5
67.1,101.8,2
65.9,53.5,3
47.1,46.9,3
55.5,72.2,3
50.5,73.8,2
82.4,90.7,1
40.5,46,4
54.3,41.5,3
46.2,88.6,1
75.9,82.5,3
29.8,17.5,3
48.2,87,3
53.6,86.2,3
40,98.1,2
40.4,67.2,3
34.9,69.6,3
82.2,66.9,1
39.4,70.7,2
49.1,58.7,4
50.6,51.5,3
45.7,58.6,4
44,58.9,3
22.5,55.9,4
62.2,53,2
47.1,25,4
71,27.6,4
67.9,41.1,5
44.7,69.1,4
64.4,59.4,3
60.4,56.8,3
43,70.5,2
85.1,59.1,2
52.5,84.4,4
41.2,75,1
60.9,74.7,3
53.3,76.2,2
46.6,76.5,2
48.4,68.1,4
63.4,63.5,4
53,58.3,3
55.5,51.1,1
55.8,65.1,3
62.5,85.5,1
57.3,33.1,1
66.7,55.5,3
59.9,102.9,2
35.7,75,5
32.3,66.5,2
57,37.9,4
34.7,72.2,3
46.6,50.1,4
54,47.6,4
42,83.2,3
82.3,90.7,1
39,76,1
64.3,99.1,3
69.8,48.1,1
93.4,43.2,1
42.3,57.1,4
66.5,46.7,3
61.9,57.4,1
56.7,79.9,3
59,63.6,1
78.2,49.7,2
57.3,47.8,1
62.7,65.1,2
48.8,30.6,3
47.1,85.8,4
31.1,35.7,1
55.7,54.9,3
30.2,49.6,4
62,75.3,2
45.2,46,3
70.4,73.7,3
51.6,67.8,3
51.7,83.5,3
68.3,36,1
54.1,64.2,3
40.6,64.2,2
84.5,35.4,2
60.1,49,2
48.6,65.7,1
51.2,48,3
57.3,87,2
51,65.6,2
37.5,76,3
69.5,88.3,5
66.7,42.7,2
43.9,36.2,2
79,32.2,3
49,43.6,2
26.8,92.1,3
60,57.1,2
85.7,59.1,3
72.3,63.3,3
58.5,67.2,3
25.2,54.3,2
39.5,42.7,3
47.1,57.4,3
62,64.8,1
42.3,56.3,1
72.7,59.7,3
53.8,45.4,2
58.7,56.6,3
71.2,61.5,2
75.1,70.6,4
69.8,45.9,1
62.5,67.2,3
41.1,51.5,2
69.8,76.2,3
59.7,71.1,3
41,51,2
63,38.9,1
32.4,61.5,3
32.1,80.8,3
56.4,67.3,2
49.1,61,1
65.1,47,1
59.9,51.2,4
58.2,63.6,4
48.6,49.2,2
50.5,80.1,2
54.3,45.9,4
59.4,33.4,1
56.8,47.3,3
45.1,74.9,1
45.6,69.2,2
51.7,49.6,1
67.3,59.5,2
49.6,36.2,3
55.7,22.9,1
39.4,99,3
62.1,53.8,4
55.1,48.7,3
56.6,41.1,3
51,37.4,5
65.4,60,3
63.6,77.9,2
29.5,38.7,2
46.8,55.2,1
66.7,48.2,2
36.7,42.6,1
56.3,50.1,1
55.7,55.9,1
57.5,68.4,3
41.2,40.7,3
69.6,50.5,1
64.4,67.1,1
55.3,65.8,4
46.5,63.4,4
64.1,56.2,2
41.3,101.1,2
63.4,55,1
51.7,50,3
60.9,54.1,4
66.9,56.5,2
50.7,39.5,3
27.6,66.8,2
58.6,39.1,3
77.5,65.8,3
43.8,67.5,2
47.1,76.6,4
61.3,64.9,3
51,71.6,3
71.5,42.5,5
38.9,81.5,5
46.5,81.1,3
48.5,43.1,3
39.9,65.6,4
39.8,55,4
76.4,30.4,1
46.9,70.7,1
69.2,24.2,3
41.5,84.4,2
42.9,42.6,3
53,50.3,3
45.6,45,4
58,30.1,3
61.6,67.7,2
42.7,51.9,3
65.7,96.4,3
35.1,68.6,2
58.3,49.8,4
69.1,86.2,1
63.5,93.7,3
58,80.9,2
83.4,80.8,2
65.7,95,2
43.6,53.5,2
50.3,65.1,2
67.6,70,3
64.8,63.4,4
60.7,33.1,3
64.7,39.8,1
51.8,77.2,2
40.9,68.8,2
51.3,67,5
62.1,64,3
51.5,60.5,1
40.4,72.7,2
51.5,62.1,1
61.5,76.8,2
31.2,40.1,1
42.6,61.3,1
42.2,60.8,4
62.3,46.8,1
48.4,65,5
45.5,61.3,4
72.1,80.6,4
72.8,66.4,1
41.4,38.3,1
58.2,80.9,2
45.5,75,2
43,64.5,1
61.2,9.8,4
46.7,97.6,3
83.6,44.6,4
64.7,30.6,3
63.8,56.8,3
58.1,47.8,1
56.1,60,3
64.9,50.2,4
45.2,68.7,1
62.1,50.5,1
72.8,25.8,3
50.5,72.2,1
56.4,60,3
63.3,32.7,2
39.8,80.4,2
67.8,54.3,3
55,36.5,2
42.8,25,4
50.8,57.9,4
48.1,63.1,1
55,53.4,1
32.8,67.9,2
63.8,93.7,1
58.7,41.1,5
61.2,54.8,3
48.8,83.2,3
46.8,75.8,4
57.8,52,2
73.5,59,3
74.1,61.8,2
59.9,90,2
70.1,68.5,3
37.8,62,3
25.9,74.6,2
72.3,40.4,5
52.7,26.9,1
50.6,46.5,3
59.9,73,3
59.9,58.6,2
75,49.7,3
54.9,66.5,2
58.5,80.3,3
54.2,75,5
51,50.1,2
56.4,48.8,3
68.6,54,1
75.9,72.9,4
9.5,60.6,4
43.4,70.8,5
49.7,61.6,3
46.2,87,4
58.8,71.6,2
44.6,63.7,1
46.8,58.6,2
63.1,53.3,1
55.8,73.1,2
67,68.8,1
56,32.3,2
54.5,52.9,4
67.8,38.4,3
71.2,69.8,1
40.5,53.3,3
50.3,69.2,3
68.2,89.3,3
68.5,89.9,3
56.9,65,3
55.9,56.3,2
43.3,70.3,3
19.8,64.1,3
60,62.6,3
45.7,54.2,1
54.5,52.3,3
52.6,38.7,4
59.9,61,1
56.6,39.5,3
65.2,57.8,2
46,105.9,2
52.1,83.2,3
54.3,46.7,3
35.6,61.2,1
56,73.5,3
52.1,53.6,2
39,56.6,4
25.3,87.9,2
45.9,54.3,2
65.9,56,1
52.4,61,2
68.5,59.9,3
63,50.1,3
66.4,76.7,3
56.1,70.4,4
42.3,85.7,4
53.4,74.4,4
51.3,53.4,3
39.7,38.7,2
33.7,102.3,4
55.1,58.5,1
57.2,82.5,4
67.1,46.7,3
43,75.7,2
55.9,45.1,3
63.3,75.5,2
34.5,77.3,4
56.9,78.7,4
60.9,30.1,1
53.3,50.3,2
68.4,44.5,5
62.9,76.6,3
65.4,71.7,3
58.1,75.3,3
91.6,51.9,3
54.3,62.6,3
53.8,44.8,2
70.8,52.1,1
39.1,103.8,3
59.5,27.9,2
54.8,44.7,3
56.4,58.2,3
55.6,38.2,3
46.2,51.2,4
51.6,47.2,1
63.2,36.9,3
49.7,29.5,3
57.8,64.9,4
65.9,80.4,3
67.6,65.7,5
24.6,43.7,4
36.7,65.7,3
62.9,31.3,1
41.1,81.2,4
23.9,25.2,1
34.5,49.1,1
32,60.5,1
56.4,70.3,3
67.9,85.4,4
60.1,60.5,3
64.3,72.4,5
57.5,99.9,1
69.3,51.5,1
68.2,43.7,2
51.1,74.1,4
47.2,49.1,5
53.2,69.8,1
48.6,46.9,3
56.3,43.7,3
66.6,48.4,3
39.1,66.7,4
54.6,53,3
64.2,40.5,2
75,112.1,2
50.2,57.2,2
44.6,46.8,3
63,77.7,1
66.3,46.9,3
47.9,35.8,3
59.2,31.8,3
55,64.3,3
45.8,33.5,1
70.5,68,1
25.6,29.3,3
67.9,58,4
62.6,23.3,2
76.4,63.3,3
37.7,51.5,3
29.2,60.6,2
58.7,48.4,3
35.5,56.4,1
30.8,53.4,3
46.3,58.8,3
76.7,50.3,3
38.2,47,4
44.9,29.8,2
43.3,41.9,1
51.2,57.5,4
67.2,34.1,3
83.1,58.2,1
81,47.3,3
71.1,41.5,3
75.8,53.7,3
48.4,89.2,1
63.1,73.8,5
68.6,46.2,4
60,81.9,5
71.4,57.5,2
68.8,35.9,3
55,65.6,3
51.8,36.2,2
65.8,80.1,2
37.6,52.2,4
66,74.6,1
37.2,42.9,1
36.2,80.1,2
53.6,86.8,3
39.7,32.7,3
42.7,59,3
63.9,65.6,4
77,36.8,4
44.1,50.6,4
58.1,71.5,1
70.8,51.3,1
51.8,88,1
55.7,33.6,2
37.5,54.9,2
43.9,75.5,5
43.5,71.1,2
73.9,69.1,1
66.6,38.9,3
51.3,80.4,3
47.6,29.3,4
71.8,40.7,1
63.3,76.1,3
50.5,50.7,3
46.9,16.3,2
39.9,74.6,2
39.3,48.7,1
64,42,4
57.8,47.8,2
58.6,73.4,2
39.3,75.1,4
28.8,54.2,1
52.4,63.4,2
72.6,41.3,2
47.2,61.5,2
76.5,39.5,4
50.2,53.5,3
59.6,51.2,4
49.2,63.1,4
68.6,72.2,1
65.3,13.9,1
46.1,29.6,4
50.6,61.6,3
63.6,69.4,4
66.9,77.3,1
65.3,36.5,3
35.1,53.4,3
68.2,64.2,2
54.3,60.4,4
55,65.2,1
66.1,67.8,3
53.8,58,2
37,74.5,3
53.6,64.8,5
75.4,74.8,4
66.3,64,2
42.7,35.2,2
70.8,98.1,3
57.8,56.3,3
53.5,61.1,4
65.9,102.7,3
31,39.9,1
57.6,32.8,3
38.1,61.5,1
48,59.8,3
35.4,35.8,3
54.4,85.6,5
69.2,64.2,5
63.1,53.4,3
64.5,61,2
59.6,52.1,1
47.1,63.3,3
54.3,58.1,4
58.6,62.8,1
47.7,62.6,3
71.3,73.1,3
38.3,82.2,3
78.3,87.9,2
45.4,40.6,3
43.8,61.6,4
54.1,58.5,2
46.6,47.1,1
77.8,44.8,3
67.8,77.1,2
52.7,55.4,3
70.1,40.2,1
42.3,50.5,3
71.6,55.9,4
42.4,45.3,3
48.6,60.7,2
65.1,27.9,3
56.3,67.1,2
26.2,79.2,2
60.4,90.6,3
42.4,26.7,4
51.8,98.9,5
30.4,45.2,3
39.4,93.1,3
69,48.5,4
48.6,60.6,3
62.8,70.9,3
71.2,23.6,2
69.2,27.8,3
59,68.3,1
60.1,65.5,4
32.5,75.8,2
45.8,48.7,4
58.8,74.9,4
66.3,85.6,3
53,77.1,1
70,87.4,5
39.7,80,3
57.5,81.8,3
90.2,86.5,4
48.5,68.7,2
69.1,55.2,3
53.7,59.3,3
80.1,65,4
68.9,79.8,3
53.2,44.5,3
54.5,66,2
69.7,49.7,1
48.1,42.9,4
51.6,46.2,4
60.9,68,1
55.4,85.9,1
42.2,42.5,1
44.3,88.8,3
48.2,47.8,1
45.6,84.4,5
61.9,47.3,2
75,22.6,2
58.3,76.8,2
48.6,57.1,2
54.1,100.7,4
53.7,63.4,3
37.2,64.1,4
58.3,86.5,1
61.3,68.2,1
64.5,33.9,1
38.2,71.7,4
39.5,32,4
47.7,65.8,3
53.9,60.6,2
54.2,12.7,3
45.2,89.6,3
28.9,97.4,2
59.1,31,2
47.9,32.6,2
57.4,47.8,3
70.4,64,2
24.9,71.9,3
44.7,55.5,5
68.8,20.1,3
48.8,83.9,2
70.6,46.4,1
60.1,53.9,1
66.1,55.2,3
52.9,60.1,2
57.8,52,3
54.2,61.8,1
42.3,39.1,3
52.7,52.3,4
50.5,30,2
44.8,59,1
60.1,82.4,3
73.4,71.4,3
47.3,82.2,3
49.1,54,2
66.6,33.8,3
60.8,64.6,2
74.3,39,1
34.9,90.1,5
44.1,67.2,2
62.5,74.4,1
51.4,63.3,4
70.6,55.1,3
61.5,60.7,2
49.9,41.9,3
38.7,83.5,2
42.7,69.6,3
53.9,70.9,3
56.1,83.7,2
44.4,65.7,2
51.3,50.5,3
77.3,64.1,3
60.3,67.4,4
44.9,53.7,2
56.4,100.6,1
78,18.9,1
62.4,62.5,3
43.1,39.5,3
52.9,71.2,3
45.6,71.1,4
62.2,65.1,5
57,41.6,4
77.9,62.5,2
56.9,54.5,3
47.3,47.9,1
53.3,69.9,1
42,27.4,4
67.8,22.1,4
47.6,53.4,1
56.2,79.4,1
45.9,49.8,4
70,71.9,1
69,44.9,1
43,60.2,4
70.6,62.5,4
46,65.8,2
47.9,49.1,1
59.8,67.9,4
58.9,56,3
57,51.7,4
48.6,45.5,5
59.4,75.7,3
53.8,59.5,5
72.3,92,4
59.4,67,2
46.2,46.9,4
63.2,55.7,3
45.5,60.9,4
61.3,69.3,3
56.5,57.9,3
53.2,51.7,2
55,27.5,2
64.4,65,2
55.9,26,4
51.1,38.5,3
79.8,42.9,2
41.9,41,3
44.1,78.5,2
46.6,36.4,3
80.7,61.1,1
49.1,39.7,1
54.4,39.8,3
32.4,93.3,1
29.5,88.9,3
64.2,67.2,1
55.2,42.9,4
67.5,68.6,1
67.4,46.8,1
61.6,79,2
54,47.9,3
51.3,55.2,4
69.4,83.6,3
34.3,65.4,2
53.1,74.8,4
39.5,76.1,4
37.1,48.9,1
67.6,68.5,2
61.2,59.7,3
45.6,67.3,2
65.6,30.7,3
73.9,72.4,2
75.2,82.2,3
48.6,70.1,3
40.7,53.9,2
56.3,64.9,1
57.2,77.3,3
51.4,61.6,1
37.5,45.3,2
45.5,81.3,3
48.9,93,3
33.1,86.8,1
68.5,58,2
69.4,60.1,1
49.5,64.3,2
47.4,48.7,3
73.1,47.4,4
46.5,75.1,1
70.2,61.3,3
45.3,75.8,3
44.4,53.4,3
58.1,57.7,3
45.5,39.6,4
64.5,78.6,4
49.8,27.4,1
49.8,63.9,1
45.7,53.5,1
52.7,75.4,2
40.3,74.7,3
76,77.8,3
61.5,47.8,3
66.9,48.6,3
51.1,85.6,4
47,91.9,4
36.3,57.7,4
52.6,39,3
43,61,2
47.9,35.5,2
53.4,33.8,4
53.1,44.2,1
52.4,44.1,1
64.2,39.3,2
63,50.2,2
55.9,64.2,3
66.5,66.1,3
46.1,37.1,3
58.9,71.5,5
65.6,54.4,3
44.2,17.5,3
53.2,45.4,3
35,47.5,1
65.4,72.4,3
63,63.4,2
64.2,68.4,2
42.1,62.1,3
38.6,53.5,4
53.1,85.7,3
50.1,62,2
59.7,45.6,2
53.3,55.9,3
74.9,35.8,3
67.5,28.3,4
53.5,68.5,2
53.8,53,1
66,48.2,3
48.6,59.6,1
68.6,65.3,3
62.9,29.2,1
53.1,73.2,5
42.1,54.9,4
70.4,57.3,3
46.9,0.4,3
41.4,34.1,5
58.4,52.5,3
39.1,60.6,1
62.6,36,4
73.6,76.2,3
53.6,47.5,3
68.7,19.4,2
47.6,99.9,1
69.2,53.6,2
55.5,52.7,4
64.4,60.5,3
57.4,63.5,1
49,56,4
52,69.9,2
53.2,23.1,4
66.5,43.8,3
64.5,73.7,2
44.9,70.7,2
50.1,38,1
59.8,33.6,4
55.5,43.2,4
55.8,39.7,1
27.5,59.3,1
38.4,57.8,2
61.5,71.9,5
48.7,39.1,4
45,33,2
53.8,59.2,3
39.2,72.1,2
54.6,84.4,1
60.9,84.8,1
48.1,47,3
40.7,65.8,3
63.9,53.1,3
40.6,17.4,2
32.5,65.5,3
61.3,92.5,2
53,59.1,3
51.2,122.3,3
36.7,50.7,5
65.8,38.5,3
71.4,53,5
59.4,105,4
67.3,19.8,1
40.5,41.9,1
65.2,56.5,3
28.9,52.1,2
67,54.3,4
55.6,28.8,5
55,22.7,3
51,67.1,3
29.8,91.6,2
47.9,53.5,3
66.7,57.8,4
44.2,30.1,2
51.2,77.8,2
39.7,61.5,4
72.6,50,3
62.4,51.6,3
39.2,79.4,3
63.4,33.5,2
80.2,38.8,2
54.7,63.3,1
55.3,75.7,1
45.3,81.2,1
55.1,62.2,3
70.7,52.7,2
45.6,34.8,2
46.9,38.9,2
68.2,53,3
82.7,47.9,1
63.1,51.9,4
59.5,61.4,3
51.3,91.1,3
74.5,30.8,3
68.4,47.7,1
49.5,80.7,3
40.1,52,5
56.4,58.8,1
52.1,61.9,3
61.6,48.1,3
59.6,55.6,3
49,46,3
61.6,62.4,2
69.6,35.6,2
52,55,3
47.3,64,1
75.5,93.5,2
62.6,76.5,3
71.1,38.9,1
54.7,44.7,3
38.7,44,5
36.6,79.3,2
62.2,51.2,4
41.4,70,2
55.8,67.8,2
58.3,73.4,4
55.5,75.7,5
41.3,70.7,1
38.1,60.6,3
41,58.7,3
52.7,32.2,2
62.6,47,3
59.8,30.5,3
48.1,64.5,5
49.3,48.1,3
48.4,48.5,2
50.1,54.2,1
35.2,58.2,4
21,69.4,4
43.1,66.7,3
45.2,75.5,2
46.4,54.3,2
63.2,27,4
66.4,39.9,1
48.4,73.6,4
54.1,29.2,3
74.4,54.6,2
71.2,65.2,3
78,53.8,2
50.5,70.1,3
56.2,13,2
39,64.1,2
54.1,69.2,1
64,47.6,2
61.7,50.2,5
64.5,49.5,1
49,57.9,5
45.7,57.7,4
40.3,43,3
76.7,60.4,5
50,75.7,2
38.5,92.8,3
52.9,38.3,3
60.2,65.1,2
22,52.1,3
63.7,31.7,3
45.2,46.2,4
47.3,71.4,1
48.9,81.3,3
50.9,64.5,1
47.1,44.6,2
40.3,55.4,3
62.4,44.2,2
65.5,80.7,4
39.5,38.7,5
59.7,42.2,2
52.9,71.6,3
52.2,48.1,2
66.6,52.4,1
34.5,39.5,2
67.9,86.9,4
51.6,81,4
46.5,66,2
62,41.6,2
74.7,61.1,3
44.4,48.3,2
69.6,53,3
44,83.1,2
62.7,52.1,2
30.2,75.7,3
67.4,51,2
39.2,74,4
50.6,79.3,4
60.8,57.4,4
52.6,64.9,2
47.9,67.5,4
77.4,20.9,1
47.4,48.1,1
54.1,62.1,4
52.2,42.6,1
47.7,47.3,1
56.9,78.8,4
38.3,46.2,1
60.9,65.1,3
60.2,26.9,3
40.8,65.7,1
62.7,43,3
35.1,75,3
52.8,55.7,3
78.1,64.6,1
48.9,75.3,4
51.5,73.8,3
51.3,44.7,5
42.4,51.6,3
48.2,55,1
43.7,61.7,3
32.1,53.5,3
39.4,53.9,1
51.2,85.2,1
50.4,63.9,1
58.4,62.2,2
35.7,40.5,2
69.3,50.1,4
57.9,75.3,1
83.3,81.8,2
57.3,106.9,3
61.6,73.8,3
56.7,64.3,4
69.7,70,4
44.9,64,3
51.8,74.7,2
68.1,51.5,3
56.4,81.3,4
45.7,50.6,1
43.4,63.3,3
34.2,32.8,2
74.9,77.7,3
45.2,43.2,4
35.6,77.1,1
54.6,64,2
42.5,79,3
42.9,45.2,3
40.4,66.4,4
49.8,95.4,3
58.6,29.6,3
40.3,76.5,2
46.9,43.8,2
49.3,67.1,3
30.4,32.2,2
47,22.8,3
65.6,56.8,4
53.1,62.5,1
54.7,40,2
51,64.2,2
59.7,69.8,2
51.5,68.1,3
40.8,69.2,2
48,115.1,3
58.6,32.1,3
53.9,33.4,1
66,77.5,3
61.8,82.6,2
61.4,40.4,4
54.5,57.1,1
42,64.1,3
64.8,27.9,3
52.5,67.6,2
77,45.7,2
49.7,51.2,1
43.9,62.5,2
36.1,40.9,3
48.9,49.4,1
68.2,58.3,5
59.5,76.4,4
58.6,67.6,3
56.7,67.9,4
40.6,53.7,1
55.4,43.8,4
64.4,42.7,4
48.1,69,1
74,73.2,3
60.3,61.6,4
61.7,17.8,5
57.5,42.9,2
43.6,68.4,2
56.9,74.5,4
60.3,71.6,3
74.5,38.8,2
47.8,20.3,1
46.1,65.2,2
36,59.1,3
75.9,82.2,3
52.8,66.3,3
63.5,65.9,3
73.2,69.7,1
56.4,52.6,3
72.5,34,2
44.7,60.1,4
42,46.5,1
42.1,94.9,4
48.4,31.6,3
51.8,49.2,2
71.1,52.4,3
46.9,45.8,4
80.1,68.4,2
39.9,6.1,2
56.8,61,2
75.5,71.6,2
71.5,62.2,3
65.2,71.1,1
59.5,44.8,3
54.5,78.1,4
52.7,38.9,4
40.3,56.2,3
59.2,67.6,3
55,51.5,4
47.8,56.8,3
56.2,86.3,1
57.1,50.9,1
62.8,60.4,2
56.9,45.1,3
74.5,33.8,1
41.2,63.9,4
57.3,65.8,2
43.7,44.4,4
58.5,9.5,4
47.5,98.4,3
58.8,82,1
48.2,59.7,2
55.4,62.8,1
64.4,57.2,3
45.1,55.4,1
55.1,58.3,3
42.1,75.2,1
59.1,60.8,1
60.8,48.1,3
50.4,43.4,4
71.4,53.9,2
59.3,65.5,3
38,44.7,1
40.7,70.5,4
48.2,49.4,1
58.3,86,2
59.5,106.2,3
27.5,81.5,2
62.4,90,2
58,63.7,1
38,43.9,3
71.6,63.6,3
