Y,W,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,tau_hat
54.42,0,25,83,3,3,2,1.631,-0.156,-0.573,0.447,1.116,0,0,0,1,1,3,4,2,3,1,1.32393729988454
66.6,0,60,89,5,3,1,-0.219,0.599,0.434,1.2,-0.459,0,1,1,0,1,5,5,4,3,1,4.06171739269527
58.04,0,28,90,4,5,2,-1.044,-0.496,-1.076,1.093,-0.34,0,0,0,1,1,1,5,1,2,2,2.58260651549488
52.9,1,43,84,4,4,3,-1.383,-0.305,0.456,0.619,0.1,1,1,0,0,1,3,2,1,2,2,2.86864004586962
44.81,1,44,92,3,3,3,0.267,-1.793,0.792,1.229,1.006,0,1,0,0,1,3,1,2,1,1,2.43446298690699
52.85,0,61,79,3,2,1,0.518,-0.288,-0.576,0.99,1.406,1,1,1,1,1,4,2,4,5,5,3.3630977559392
57.02,0,58,79,4,1,2,0.156,-0.787,-0.507,0.822,1.435,1,1,1,0,0,2,3,1,2,2,3.74515396089698
45.36,0,30,86,5,1,2,2.182,-0.585,1.265,1.275,0.913,0,0,0,0,1,1,5,3,3,2,2.43727984450447
67.2,1,47,90,4,1,1,0.101,0.971,0.082,0.431,0.372,1,1,1,0,1,4,4,4,2,2,3.21132089597647
65.98,0,73,90,4,3,1,0.837,0.589,0.481,-0.257,-0.36,0,1,0,1,0,3,5,4,2,1,5.41241662571907
58.04,1,59,87,2,5,1,-0.134,1.342,2.005,-1.022,-0.433,1,0,0,1,0,1,4,1,2,3,3.62025836077497
60.32,0,40,84,4,3,1,0.268,-0.564,0.488,0.425,1.181,1,0,1,0,1,3,5,5,3,5,2.95109710730524
45.36,0,31,86,5,2,3,0.753,-0.064,1.328,0.283,0.428,1,0,1,0,0,2,1,2,5,4,2.29273930102374
62.64,1,61,92,2,3,2,-0.631,0.501,-0.398,-0.214,-1.341,0,0,0,1,1,2,5,4,5,4,3.80206881762155
55.75,0,64,68,3,2,1,1.454,-0.12,-0.921,-1.181,0.064,0,0,0,1,1,2,3,4,5,3,3.84323716147064
54.36,1,57,85,3,2,2,-1.311,-1.099,-1.358,1.002,1.597,0,0,0,0,1,1,4,3,2,4,2.7537557637359
50.75,0,66,71,3,2,2,0.3,-0.719,-0.69,0.294,-0.953,0,1,1,1,0,5,2,2,3,5,3.49080876421596
42.17,1,32,87,4,3,1,0.935,0.253,-0.764,0.339,0.389,0,1,1,0,1,5,4,1,2,5,2.45825702851433
63,0,42,98,5,3,1,0.923,0.476,-2.064,-0.5,0.063,1,0,0,0,0,5,2,1,2,3,3.09387826015641
61.77,0,65,85,5,3,2,1.265,0.608,-1.024,0.657,-0.076,0,1,1,0,0,1,4,1,5,4,4.07893805285887
56.36,1,30,93,4,5,1,1.51,0.886,0.406,1.286,0.816,0,1,1,0,1,3,1,2,1,2,2.57858129653624
60.09,1,43,75,5,3,1,-1.147,1.22,-0.284,0.05,-0.655,0,0,0,0,0,3,1,1,3,3,2.93617138208509
47.42,0,53,78,4,1,2,1.134,0.208,-0.049,1.004,-0.054,0,0,0,0,1,1,4,5,4,2,3.6113889297675
62.75,1,56,85,4,3,1,-2.23,-3.965,0.53,-2.314,0.164,1,1,0,1,1,4,1,1,4,1,3.99534230107802
59.2,1,56,79,5,3,1,-0.958,-0.212,2.219,-0.209,-0.534,0,0,0,1,1,1,5,2,2,3,3.56685041621989
49.23,1,42,60,5,5,2,0.398,0.363,-0.39,-0.067,-0.103,1,1,0,1,1,3,5,5,1,1,2.72265588639805
65.63,1,74,87,4,5,1,-1.203,-0.524,0.105,-1.11,0.51,0,0,0,1,1,2,4,5,4,5,5.24279484679109
58.6,0,26,85,5,3,1,-1.72,0.699,1.1,-1.988,-0.292,0,1,1,1,1,3,4,3,3,3,2.42421124758546
45.97,1,33,59,4,4,1,-0.6,0.51,0.53,-0.899,0.127,0,0,1,0,0,5,1,4,3,3,1.97563728887624
68.12,1,63,89,3,2,1,-0.639,0.397,-0.377,-0.049,-0.502,1,1,0,0,0,5,3,1,3,2,4.08151540018049
58.87,1,49,76,4,3,1,-0.867,0.909,-1.915,0.17,0.059,0,1,1,0,1,1,3,1,1,3,3.08462931913988
55.71,0,60,82,4,2,1,0.057,-0.669,0.061,0.212,1.636,0,0,1,1,1,3,3,4,2,3,4.05234166472397
53.66,1,44,77,3,2,1,-0.318,2.352,0.102,-1.642,0.561,0,0,0,1,0,1,3,4,3,3,2.37796658445379
56.27,0,58,82,2,4,2,0.531,0.333,-1.104,3.05,0.455,1,1,0,0,1,1,3,3,4,1,3.21786042485636
45.26,1,31,86,5,4,2,-0.124,2.33,0.223,0.534,1.421,0,0,1,0,0,5,4,4,4,2,2.29758126492163
51.9,1,32,97,3,2,3,1.031,1.103,-0.096,-0.132,-1.65,0,0,0,0,1,4,5,1,1,5,1.48071623576467
54.71,1,29,92,3,4,3,1.347,-1.214,0.492,1.387,-0.647,0,1,0,1,1,2,4,5,2,2,1.20106989777575
56.55,1,50,85,3,4,2,-0.225,2.272,1.31,-0.21,-0.536,0,1,1,0,0,1,5,3,5,4,2.12285686685615
55.15,1,29,81,3,3,1,-0.119,1.109,-1.246,0.076,-1.187,1,0,1,0,0,4,3,4,1,1,0.891469264666545
55.22,0,51,94,3,3,2,-0.875,-1.607,0.43,0.942,0.171,1,0,0,0,0,3,1,5,4,1,2.61913993014436
44.43,0,44,91,3,3,3,0.43,-0.253,-1.893,0.685,0.165,0,1,1,0,1,1,4,3,3,2,2.40996550085299
56.95,1,57,90,3,3,1,-1.863,-0.363,1.04,0.155,-0.769,0,0,1,1,1,2,3,4,4,2,3.18329429927841
58.04,0,48,63,3,4,1,-1.309,1.263,1.598,-0.505,-1.089,1,1,1,0,0,4,1,2,1,5,2.03108485174008
49.16,0,60,77,2,4,2,1.042,2.348,2.216,1,0.359,1,0,0,0,0,4,3,4,1,4,3.0826306481002
65.87,0,55,96,5,4,1,0.479,0.39,-0.989,0.755,0.431,1,0,0,0,0,4,2,2,2,2,4.11891668146993
57.19,1,32,89,4,2,2,0.589,1.284,1.752,1.392,0.388,0,1,0,1,1,1,3,5,1,4,2.29150388606512
52,0,43,90,4,2,1,-1.15,-0.957,0.982,1.589,2.045,0,0,0,1,0,1,5,5,2,2,2.81550809743303
69.3,1,36,88,4,4,2,0.452,0.988,-0.962,-0.376,0.005,1,1,1,0,0,3,5,4,5,4,2.48553896717837
63.87,1,41,89,4,5,3,-0.185,-0.067,-0.445,-1.744,-1.576,0,0,0,0,1,2,4,5,1,3,2.87971076715654
60.41,0,26,93,4,5,1,-0.795,0.299,-0.814,-0.982,-1.502,0,0,1,0,1,4,4,4,1,2,2.36035053680631
60.66,1,67,74,3,5,1,1.237,1.367,-0.349,0.049,-0.212,0,0,0,0,0,4,4,3,1,5,4.03942709370604
64.74,1,60,95,3,4,2,1.033,0.462,0.087,0.893,-0.144,1,1,0,1,1,4,4,5,2,2,3.83855853459251
54.31,1,32,88,4,3,2,0.428,0.357,0.812,1.287,0.359,1,1,1,0,0,3,3,1,2,5,2.29610307506837
41.17,0,43,80,4,1,2,-0.032,-1.15,-0.306,0.158,0.767,0,1,0,0,1,5,4,1,2,3,2.80321710479636
55.81,0,66,79,3,3,1,0.175,0.655,-0.342,-0.55,0.53,1,1,1,0,1,5,1,2,5,3,3.95522885992049
56.54,1,46,67,4,4,1,0.139,1.602,-0.27,0.963,-0.636,0,1,1,0,0,4,2,1,4,1,3.08279043805231
46.99,0,29,69,3,4,1,1.005,0.22,0.92,1.669,0.569,0,0,1,0,0,4,1,3,5,5,1.07854862619862
46.67,1,32,82,4,3,2,-1.934,0.851,0.697,-0.059,-0.454,0,1,0,0,1,2,4,1,4,5,2.11440730458809
59.2,1,54,72,3,3,2,0.516,0.038,0.518,-1.172,0.208,1,1,0,1,0,4,4,4,1,4,2.60319939477314
51.3,1,59,63,4,2,2,-1.098,-0.461,0.323,-1.142,-0.431,0,0,0,1,0,2,2,5,3,2,3.66139984252945
66.86,1,63,93,3,2,1,-0.042,0.349,-0.285,-0.744,1.346,0,1,1,0,1,2,2,4,2,3,3.90203473524666
60.01,1,47,83,4,3,2,-0.479,0.052,-0.126,-0.562,-0.018,0,0,0,1,1,2,3,3,4,5,3.14811861371434
64.78,0,67,88,3,1,3,0.63,-1.067,1.08,0.25,-0.156,0,1,1,0,0,4,3,4,3,4,3.33366922397848
66.02,1,54,94,4,3,2,-0.264,1.904,0.131,-1.293,-0.87,0,1,0,0,1,5,4,1,5,2,3.8371662640419
47.26,0,56,69,3,1,2,-0.622,-0.833,-1.13,-0.182,-0.139,0,0,0,0,1,3,2,2,4,3,2.69923284541624
65.56,0,61,98,3,3,2,-1.851,-0.5,1.331,-0.986,0.148,1,1,0,0,1,1,2,4,5,5,3.43479934468298
61.44,0,43,95,3,3,2,-0.361,0.492,0.021,-0.466,-0.778,0,0,1,0,1,3,5,3,4,2,2.31526689861078
66.89,1,72,89,5,3,1,1.067,0.574,0.635,1.386,-0.844,0,0,0,0,1,5,1,2,3,4,4.76762124562848
44.54,0,29,67,4,4,2,0.016,0.158,0.772,1.791,0.916,0,1,1,0,1,2,3,4,4,3,2.09394142210319
69.94,1,59,91,5,3,1,-2.479,0.028,-0.26,-0.87,0.652,0,0,0,0,1,3,3,5,2,4,3.98303457269734
53.65,1,59,57,2,3,2,1.077,-1.198,0.425,0.787,0.228,1,0,0,0,1,3,4,1,5,5,3.03122672143737
57.74,0,60,68,3,4,2,-1.47,0.723,0.031,-0.021,-0.708,0,0,0,0,1,3,2,2,4,4,3.07138660018948
43.07,0,35,69,3,3,2,0.146,0.964,-1.105,2.046,0.115,1,1,0,0,0,1,5,2,2,4,0.8157091660065
54.45,1,41,81,4,4,3,-0.385,1.439,0.107,-1.828,0.355,0,0,1,0,1,4,2,3,5,4,2.86217838837016
52.86,0,46,86,5,1,3,-0.116,0.402,0.12,0.983,-1.52,1,0,1,0,1,3,5,3,3,5,3.29289653586146
57.92,0,62,80,5,2,1,-0.378,-0.658,1.887,0.875,0.164,0,1,0,0,1,3,5,3,4,2,3.83224686557131
56.07,1,40,82,4,4,2,0.321,-0.752,-0.069,-0.85,0.117,0,0,0,1,1,1,3,2,1,1,2.8849605303606
82.12,1,68,86,3,5,1,0.53,2.191,1.448,1.671,-1.006,1,0,1,0,1,4,4,1,4,1,3.89177631395705
55.28,1,43,90,2,5,3,0.811,-2.054,0.301,-0.651,0.454,0,0,1,1,0,2,3,5,3,3,2.04938501533417
64.84,1,55,80,3,3,1,0.423,0.856,1.69,0.862,-1.308,0,0,0,0,1,5,1,1,2,2,3.11551221344984
47.84,1,41,70,4,3,2,-0.508,0.079,-0.071,-1.709,1.062,0,1,0,1,1,2,2,2,4,1,3.31179634068205
61.6,1,75,90,3,3,2,0.854,-0.212,-0.473,0.137,0.972,0,0,0,1,1,5,1,2,5,3,4.87199675817304
66.92,0,45,85,3,3,1,0.365,0.629,-1.592,-0.406,-0.374,1,0,0,1,1,5,4,3,1,3,2.22980070617012
47.99,0,37,76,3,4,3,-0.088,1.416,-0.655,-0.24,0.408,0,1,1,0,1,1,4,2,3,2,1.95559703774553
47.16,0,36,72,2,1,3,-0.37,1.873,0.55,0.194,-0.069,0,1,1,0,1,5,4,5,3,1,1.4340628083693
57.68,0,66,92,3,4,2,-0.498,-2.403,0.585,-1.509,0.745,1,0,0,0,0,1,4,1,2,1,4.05992629774075
68.97,0,61,91,2,4,1,-0.389,0.234,1.985,1.766,-0.759,1,1,1,0,0,1,5,4,3,5,3.50933969318138
66.42,1,58,78,4,2,1,0.654,0.149,-0.407,-0.219,-0.324,1,1,0,1,0,5,1,2,4,2,4.10270494049489
55.02,1,51,80,3,3,2,-0.574,0.166,0.008,-0.702,0.205,0,1,0,0,0,1,3,5,4,2,2.9055876725336
54.83,1,31,81,4,3,2,-0.175,0.252,0.567,-1.029,-0.294,0,0,1,0,0,2,2,4,3,1,2.18150730276504
61.79,0,68,81,3,4,1,0.375,-0.608,0.196,-0.687,0.284,0,0,0,0,1,1,5,2,1,1,4.4771454742343
61.8,0,66,92,4,5,1,-1.575,0.035,1.264,-1.089,1.246,0,0,0,0,1,3,4,3,3,4,4.22409289846629
50.43,1,27,89,2,4,2,0.556,2.177,-0.76,0.172,-1.029,1,1,1,0,1,2,3,2,4,1,1.20237369772326
37.89,0,56,59,5,1,2,0.891,-0.102,0.333,0.683,-0.306,0,0,0,0,1,2,5,3,1,2,3.48387479037865
44.88,0,38,71,4,4,1,-0.997,0.747,-0.923,-1.366,0.204,0,0,1,0,0,5,2,2,2,3,2.68955116058913
48.86,1,45,62,4,1,1,0.657,-0.432,-1.245,0.932,0.427,0,1,1,0,1,3,3,2,3,2,2.75421039397919
59.09,0,56,96,3,1,1,-0.826,0.28,0.446,0.799,-0.126,0,1,1,0,0,4,2,4,1,4,3.26129953092858
82.8,1,70,91,4,5,1,0.348,-0.567,1.243,-0.277,-0.148,0,1,1,0,1,2,3,5,3,3,4.62454224783452
53.31,1,27,78,4,4,1,0.71,0.501,1.092,1.027,0.117,0,1,0,1,0,4,2,4,5,2,2.23339895278468
56.8,1,61,86,4,3,3,-0.642,-0.086,-0.961,1.073,0.297,1,1,0,0,0,4,1,5,4,1,3.74153449339667
55.15,0,53,85,3,1,2,0.005,-0.52,0.935,-1.116,0.746,0,1,1,0,0,4,5,1,3,4,2.95904787306975
45.65,0,33,79,5,2,1,-2.708,-1.344,-0.367,-0.238,1.075,1,1,1,0,1,3,3,2,2,2,2.02108332679725
55.54,0,56,75,3,4,1,2.178,0.308,-0.96,0.315,-0.782,0,0,1,1,0,3,5,4,4,2,3.27487376076104
61.65,0,28,94,4,3,2,1.024,-0.976,-0.507,0.57,0.251,0,1,1,0,1,4,3,4,2,2,2.74024824412874
58.14,0,64,80,3,4,1,-1.155,-0.565,0.592,-2.701,-0.103,0,1,0,0,1,4,5,2,4,3,3.90374697485853
51.7,0,59,85,4,2,2,-0.149,0.348,-1.597,0.218,0.065,0,0,1,1,0,5,1,5,1,4,3.85683181715405
61.22,1,42,89,4,5,1,0.14,0.908,-0.183,-0.08,0.888,1,0,1,0,1,3,3,5,4,1,3.55379601468916
47.15,1,63,83,4,3,3,-0.196,-0.832,-1.307,-0.911,0.378,0,0,1,0,1,2,2,1,1,3,3.79834092282754
46,0,32,94,4,1,3,-0.418,0.079,0.093,-0.101,0.169,0,1,0,0,0,3,5,2,2,2,2.44738262521159
54.7,0,44,75,3,4,1,1.694,-1.461,1.088,1.716,2.123,0,0,1,0,0,5,3,4,1,3,2.22553104209408
55.36,0,75,82,3,2,3,-1.05,0.6,0.84,-1.064,0.916,0,1,1,1,0,3,2,2,5,5,4.3427213861255
63.03,0,70,77,3,4,2,-0.089,0.736,-1.345,1.049,0.206,0,1,0,0,0,4,1,1,2,5,4.38563014554935
48.17,0,52,91,4,3,2,-0.911,0.409,-0.914,0.381,0.32,0,0,1,0,0,2,2,1,1,4,3.31038392761352
47.06,1,47,85,4,4,2,0.485,0.982,0.074,0.566,-1.502,0,0,0,1,1,4,4,1,4,2,3.68471658453049
46.88,1,25,81,4,4,3,0,0.851,0.418,-0.31,-1.752,0,1,1,0,0,3,4,5,5,1,2.04882049735216
58.65,1,71,91,4,3,2,0.19,2.074,0.837,-0.403,-1.312,0,0,0,0,1,2,4,2,4,3,4.85197280794975
63.54,1,61,79,3,4,1,0,0.433,0.462,0.436,-1.811,1,1,1,0,1,3,2,3,4,1,3.75448722355085
65.98,1,67,97,3,4,3,-0.894,1.78,1.541,0.308,-0.489,0,1,0,0,0,1,4,4,3,5,3.35461115503666
47.6,0,42,88,2,3,2,0.102,-0.933,0.413,0.321,0.277,0,1,1,0,0,3,3,4,2,5,2.13981327359364
65.33,0,59,85,4,3,1,0.198,-0.888,-0.043,0.206,0.285,1,1,1,0,1,3,4,4,3,4,3.90258755704011
53.16,0,26,96,5,2,2,-0.277,-0.66,-0.468,0.233,-0.347,0,0,1,1,1,2,4,3,1,4,2.40031775239201
72.5,0,69,81,4,5,1,-2.459,0.095,-0.182,0.124,0.026,0,1,0,0,1,4,4,4,2,5,4.60335685478869
54.82,0,39,81,4,3,2,1.863,0.632,0.613,0.213,-0.501,0,1,0,1,0,4,2,3,2,3,2.67673662814111
48.49,1,62,80,4,1,2,1.121,-0.128,1.961,-0.266,-0.335,0,1,1,0,1,2,3,1,1,4,3.99357391417784
57.84,1,26,86,5,3,1,-0.474,-0.445,1.556,-1.297,0.672,0,0,0,0,1,4,1,4,3,3,2.40277203780758
60.92,1,69,94,3,2,1,0.088,-1.273,-1.162,0.398,0.016,0,1,0,0,0,1,4,4,2,4,4.48243012954672
62.64,1,47,80,4,2,1,0.219,-0.053,-0.699,-0.344,-0.088,1,1,0,0,1,1,4,3,2,4,2.82420444885915
52.04,0,28,89,4,3,3,-0.721,-0.659,0.953,0.386,0.236,0,1,1,0,0,1,3,2,4,3,2.27089358810577
46.12,1,43,83,4,2,3,-1.799,0.276,-0.025,-0.365,-0.109,1,1,1,0,1,5,4,5,3,4,3.10650181913374
71.44,1,55,93,4,3,1,-0.648,-0.123,0.409,-0.78,2.098,0,0,1,1,1,4,2,4,3,1,4.42262087387778
53.03,0,31,89,4,4,1,-1.466,1.658,-0.61,-0.105,0.265,0,1,0,0,1,3,5,3,2,4,2.23199237363793
58.14,0,46,97,4,3,2,-0.668,0.534,-0.765,-0.15,0.157,1,1,0,0,1,4,3,5,1,4,3.14201361436809
56.91,0,75,89,4,3,1,-0.759,0.419,0.021,-0.522,-1.277,0,1,0,0,1,5,3,5,1,5,4.80827502862702
68.07,0,48,98,5,2,1,-0.554,1.778,-1.692,-0.589,0.425,1,1,1,0,0,5,2,1,3,4,3.35536798255475
57.99,0,29,92,3,1,3,-0.388,1.374,-1.106,0.23,-0.26,1,0,0,0,1,2,4,4,4,4,1.41760153119697
56.15,1,52,59,3,2,2,-1.097,-0.113,1.404,-1.003,1.404,1,0,0,0,1,1,1,3,4,5,2.81809096617548
60.72,0,46,93,3,3,2,0.139,-0.657,-0.816,-0.63,0.002,0,0,0,0,1,1,3,2,2,1,2.62248213752492
50.83,0,59,94,2,3,1,-0.333,-1.547,0.425,0.251,0.975,0,1,0,0,1,4,1,3,1,5,3.3360382848876
44.16,0,39,91,3,4,3,-0.629,-0.964,0.594,0.345,-0.049,1,1,1,0,0,5,2,3,4,2,1.9094449772697
61.58,1,51,89,5,4,1,1.41,-1.134,-0.623,1.749,0.364,0,1,0,1,1,4,1,3,5,5,3.26770275893378
54.18,0,34,81,4,3,3,-0.382,-0.606,0.069,-0.921,0.427,0,0,0,1,1,3,1,3,1,1,2.49434385982566
51.46,0,46,67,3,3,1,-0.506,0.249,-2.385,0.278,0.663,1,1,1,1,1,2,2,3,2,4,2.00637567219642
57.49,1,49,82,4,4,2,0.277,-1.673,0.626,0.982,1.053,0,1,0,0,1,1,3,4,2,4,3.35414216395613
55.86,0,74,83,4,1,3,0.632,0.809,0.013,0.119,-0.539,0,0,0,0,0,2,2,4,5,5,4.62465321227854
62.16,1,41,75,2,4,2,0.954,3.072,0.783,0.49,0.745,0,0,0,0,1,2,5,3,5,4,2.06825420243225
50.49,0,55,79,3,4,2,-1.526,1.055,1.717,-1.437,0.082,0,0,1,0,1,4,1,3,3,4,3.06652027782333
56.69,0,54,89,3,4,2,0.595,0.16,1.192,1.066,1.563,1,1,1,0,1,1,2,2,2,1,3.18586943810286
45.64,0,52,98,3,4,3,0.429,-0.281,0.056,-0.864,-0.799,0,0,0,0,0,3,2,5,3,1,3.1069375201218
64.62,1,55,91,4,2,3,0.019,0.324,0.515,1.142,-0.483,1,1,1,0,0,3,4,5,3,3,3.39487470715721
58.74,0,49,74,5,3,2,0.802,2.19,-0.527,2.358,-0.368,1,0,1,1,1,3,3,2,2,4,2.96958246350891
52.32,0,71,74,3,3,1,-0.759,0.614,1.107,-1.842,-0.891,0,0,0,1,1,2,4,3,4,1,4.58630721343424
55.65,1,45,75,3,3,2,0.298,-1.322,0.519,0.038,-0.341,1,0,0,0,1,3,3,3,2,3,1.76585467426814
59.46,0,44,88,5,3,1,0.37,1.778,0.369,0.706,-1.557,0,0,0,1,0,2,3,3,1,2,3.07668672398112
53.73,1,40,82,4,1,2,-1.478,-1.171,-0.547,-0.292,-0.444,0,0,0,0,1,4,5,1,4,5,2.70967071101549
47.83,0,72,65,2,3,2,-0.932,0.182,-0.573,-0.461,-0.048,0,1,0,1,1,3,3,3,1,4,4.37889615381831
47.96,1,36,68,5,3,1,0.288,0.834,-1.435,0.507,-0.049,0,1,0,0,1,5,1,5,3,3,2.48586607463951
62.27,1,38,88,4,2,1,-0.909,-0.938,-0.276,-2.311,0.533,0,1,1,0,1,4,5,1,4,1,3.22667563529548
57.61,1,46,87,3,4,2,0.703,0.425,-0.21,-0.717,-0.199,1,0,0,0,0,4,4,4,5,1,2.55358107463824
55.92,0,56,76,5,3,1,0.417,-0.73,0.061,-0.214,0.472,0,0,1,0,0,3,3,3,5,3,3.48749792130013
54.26,1,38,86,3,1,2,2.528,0.584,-0.007,0.548,-0.412,0,1,1,0,1,5,2,4,5,3,1.87055373404853
51.04,0,47,77,3,3,2,-0.799,0.337,0.656,-0.362,-0.003,1,0,1,0,1,1,5,5,1,1,2.29810519499353
51.24,0,25,83,4,3,1,-0.654,0.473,0.058,-0.222,-1.459,1,0,0,0,1,4,1,2,3,5,2.09954781435962
58.7,1,41,86,5,2,2,-1.774,-0.746,1.506,-0.383,-1.133,0,0,0,0,1,3,2,5,3,4,2.72742343109162
49.12,1,39,86,3,4,2,1.481,-0.886,-1.25,1.694,-1.34,1,0,0,1,1,2,2,3,1,4,1.97103675191428
61.43,1,41,86,3,4,2,0.474,0.275,0.787,0.36,0.234,0,1,0,0,0,2,3,4,5,4,2.18721085416865
54.88,1,34,92,3,4,3,-0.109,-0.126,0.352,-0.146,0.252,0,0,1,0,0,3,3,1,1,5,1.43527909728456
63.36,1,26,79,4,5,1,0.142,0.704,1.239,0.525,-0.137,1,1,0,0,1,2,4,1,3,4,2.17434125866908
63.11,0,60,93,3,3,2,-0.774,-0.472,-1.315,1.221,0.999,0,0,0,0,1,4,5,3,4,1,3.34267713610928
61.24,0,52,89,4,4,2,0.289,-0.685,0.471,-1.275,-0.033,0,0,0,1,1,1,3,4,4,2,4.07527654946858
58.53,1,42,91,4,2,1,-1.139,-0.866,0.921,-1.709,1.538,0,1,1,0,0,4,5,4,2,3,3.35356964886356
58.78,0,64,94,2,4,2,-1.347,-0.53,-0.519,-0.655,-0.235,0,0,0,0,0,3,3,4,1,5,3.33737553335132
57.02,0,50,93,4,1,1,0.627,1.321,0.178,0.628,0.085,0,0,0,0,0,3,3,4,1,3,3.3494609419488
63.1,0,60,84,3,2,1,1.329,-0.504,1.325,-0.172,-0.531,0,1,1,0,1,5,4,5,5,4,3.32719491409627
57.94,0,28,95,2,5,2,0.502,0.238,-0.529,1.466,0.861,0,1,1,0,1,1,1,2,5,5,1.75513821617371
59.48,0,48,96,4,4,1,-0.658,-0.735,-1.008,-2.664,0.357,0,0,0,1,1,1,4,1,1,1,3.82871159058687
59.41,1,33,89,5,5,1,-0.317,-0.522,-0.55,-0.293,-1.086,0,0,0,0,1,2,5,5,1,1,2.49317973186586
64.11,1,52,96,3,4,2,-0.624,2.356,0.952,-0.604,-0.865,1,0,1,0,0,3,1,2,4,1,3.21595021517796
40.8,1,30,85,3,3,3,1.774,-0.751,-0.217,0.686,-1.405,0,0,1,1,1,1,1,1,5,5,1.17516757608201
62.16,0,36,87,3,2,1,-0.613,-0.691,-0.86,-0.553,0.735,1,1,0,0,0,5,1,1,5,4,2.09360602024441
56.96,1,73,85,3,1,1,1.456,-0.376,1.218,1.249,0.47,0,0,1,0,1,3,3,5,5,3,4.57208526070087
55.79,0,41,93,5,3,2,-1.937,-0.289,-0.25,0.472,-1.318,1,1,0,0,0,2,1,3,4,3,2.81199989148191
