"id","treatment"
171,"LastDoseFree"
172,"Graduated"
173,"FirstDoseFree.first_dose_free"
174,"FirstDoseFree.first_dose_free"
175,"LastDoseFree"
176,"Graduated"
177,"LastDoseFree"
178,"Graduated"
179,"Graduated"
180,"Graduated"
181,"FirstDoseFree.first_dose_free"
182,"LastDoseFree"
183,"Graduated"
184,"FirstDoseFree.first_dose_free"
185,"LastDoseFree"
186,"Graduated"
187,"LastDoseFree"
188,"Graduated"
189,"Graduated"
190,"FirstDoseFree.first_dose_free"
191,"FirstDoseFree.first_dose_free"
192,"LastDoseFree"
193,"Control"
194,"Graduated"
195,"LastDoseFree"
196,"LastDoseFree"
197,"Graduated"
198,"FirstDoseFree.first_dose_free"
199,"FirstDoseFree.first_dose_free"
200,"Graduated"
201,"FirstDoseFree.first_dose_free"
202,"Graduated"
203,"Graduated"
204,"LastDoseFree"
205,"FirstDoseFree.first_dose_free"
206,"LastDoseFree"
207,"FirstDoseFree.first_dose_free"
208,"LastDoseFree"
209,"FirstDoseFree.first_dose_free"
210,"FirstDoseFree.first_dose_free"
211,"FirstDoseFree.first_dose_free"
212,"Graduated"
213,"LastDoseFree"
214,"Control"
215,"LastDoseFree"
216,"FirstDoseFree.first_dose_free"
217,"Graduated"
218,"LastDoseFree"
219,"Graduated"
220,"LastDoseFree"
221,"Control"
222,"Graduated"
223,"Control"
224,"Graduated"
225,"Graduated"
226,"FirstDoseFree.first_dose_free"
227,"LastDoseFree"
228,"Graduated"
229,"LastDoseFree"
230,"LastDoseFree"
231,"LastDoseFree"
232,"FirstDoseFree.first_dose_free"
233,"FirstDoseFree.first_dose_free"
234,"LastDoseFree"
235,"FirstDoseFree.first_dose_free"
236,"LastDoseFree"
237,"LastDoseFree"
238,"FirstDoseFree.first_dose_free"
239,"LastDoseFree"
240,"LastDoseFree"
241,"LastDoseFree"
242,"Graduated"
243,"Graduated"
244,"FirstDoseFree.first_dose_free"
245,"Graduated"
246,"LastDoseFree"
247,"LastDoseFree"
248,"Graduated"
249,"LastDoseFree"
250,"Graduated"
251,"FirstDoseFree.first_dose_free"
252,"Graduated"
253,"LastDoseFree"
254,"Graduated"
255,"FirstDoseFree.first_dose_free"
256,"Graduated"
257,"Graduated"
258,"LastDoseFree"
259,"Graduated"
260,"Graduated"
261,"Graduated"
262,"Graduated"
263,"LastDoseFree"
264,"LastDoseFree"
265,"LastDoseFree"
266,"LastDoseFree"
267,"Graduated"
268,"LastDoseFree"
269,"LastDoseFree"
270,"Graduated"
271,"Graduated"
272,"Graduated"
273,"Graduated"
274,"Graduated"
275,"FirstDoseFree.first_dose_free"
276,"LastDoseFree"
277,"LastDoseFree"
278,"Graduated"
279,"LastDoseFree"
280,"LastDoseFree"
281,"LastDoseFree"
282,"Graduated"
283,"Graduated"
284,"LastDoseFree"
285,"Control"
286,"LastDoseFree"
287,"Graduated"
288,"Graduated"
289,"Graduated"
290,"FirstDoseFree.first_dose_free"
291,"Graduated"
292,"FirstDoseFree.first_dose_free"
293,"Graduated"
294,"Graduated"
295,"Control"
296,"LastDoseFree"
297,"LastDoseFree"
298,"FirstDoseFree.first_dose_free"
299,"Graduated"
300,"LastDoseFree"
301,"Graduated"
302,"Graduated"
303,"Graduated"
304,"FirstDoseFree.first_dose_free"
305,"LastDoseFree"
306,"Graduated"
307,"LastDoseFree"
308,"LastDoseFree"
309,"LastDoseFree"
310,"Graduated"
311,"LastDoseFree"
312,"FirstDoseFree.first_dose_free"
313,"LastDoseFree"
314,"LastDoseFree"
315,"LastDoseFree"
316,"FirstDoseFree.first_dose_free"
317,"FirstDoseFree.first_dose_free"
318,"FirstDoseFree.first_dose_free"
319,"Graduated"
320,"Graduated"
321,"LastDoseFree"
322,"FirstDoseFree.first_dose_free"
323,"Control"
324,"LastDoseFree"
325,"Graduated"
326,"LastDoseFree"
327,"LastDoseFree"
328,"Graduated"
329,"FirstDoseFree.first_dose_free"
330,"LastDoseFree"
331,"FirstDoseFree.first_dose_free"
332,"FirstDoseFree.first_dose_free"
333,"LastDoseFree"
334,"Control"
335,"Graduated"
336,"LastDoseFree"
337,"Graduated"
338,"FirstDoseFree.first_dose_free"
339,"LastDoseFree"
340,"LastDoseFree"
341,"FirstDoseFree.first_dose_free"
342,"LastDoseFree"
343,"LastDoseFree"
344,"LastDoseFree"
345,"Graduated"
346,"FirstDoseFree.first_dose_free"
347,"LastDoseFree"
348,"Control"
349,"Graduated"
350,"Graduated"
351,"LastDoseFree"
352,"FirstDoseFree.first_dose_free"
353,"LastDoseFree"
354,"FirstDoseFree.first_dose_free"
355,"Graduated"
356,"Graduated"
357,"FirstDoseFree.first_dose_free"
358,"Graduated"
359,"LastDoseFree"
360,"LastDoseFree"
361,"FirstDoseFree.first_dose_free"
362,"LastDoseFree"
363,"LastDoseFree"
364,"LastDoseFree"
365,"FirstDoseFree.first_dose_free"
366,"LastDoseFree"
367,"FirstDoseFree.first_dose_free"
368,"Graduated"
369,"FirstDoseFree.first_dose_free"
370,"FirstDoseFree.first_dose_free"
371,"Graduated"
372,"Graduated"
373,"LastDoseFree"
374,"Control"
375,"LastDoseFree"
376,"LastDoseFree"
377,"FirstDoseFree.first_dose_free"
378,"FirstDoseFree.first_dose_free"
379,"Graduated"
380,"FirstDoseFree.first_dose_free"
381,"LastDoseFree"
382,"Graduated"
383,"FirstDoseFree.first_dose_free"
384,"Graduated"
385,"LastDoseFree"
386,"LastDoseFree"
387,"Graduated"
388,"Graduated"
389,"FirstDoseFree.first_dose_free"
390,"Graduated"
391,"Control"
392,"FirstDoseFree.first_dose_free"
393,"Graduated"
394,"FirstDoseFree.first_dose_free"
395,"LastDoseFree"
396,"Graduated"
397,"FirstDoseFree.first_dose_free"
398,"LastDoseFree"
399,"LastDoseFree"
400,"Graduated"
401,"LastDoseFree"
402,"Graduated"
403,"LastDoseFree"
404,"Control"
405,"Graduated"
406,"Graduated"
407,"LastDoseFree"
408,"Graduated"
409,"Graduated"
410,"FirstDoseFree.first_dose_free"
411,"LastDoseFree"
412,"FirstDoseFree.first_dose_free"
413,"LastDoseFree"
414,"Graduated"
415,"FirstDoseFree.first_dose_free"
416,"Graduated"
417,"FirstDoseFree.first_dose_free"
418,"FirstDoseFree.first_dose_free"
419,"LastDoseFree"
420,"Graduated"
421,"LastDoseFree"
422,"LastDoseFree"
423,"Graduated"
424,"FirstDoseFree.first_dose_free"
425,"Graduated"
426,"LastDoseFree"
427,"LastDoseFree"
428,"Graduated"
429,"Graduated"
430,"Graduated"
431,"Graduated"
432,"LastDoseFree"
433,"Graduated"
434,"Graduated"
435,"Graduated"
436,"LastDoseFree"
437,"FirstDoseFree.first_dose_free"
438,"Graduated"
439,"FirstDoseFree.first_dose_free"
440,"LastDoseFree"
441,"FirstDoseFree.first_dose_free"
442,"FirstDoseFree.first_dose_free"
443,"LastDoseFree"
444,"Graduated"
445,"Graduated"
446,"LastDoseFree"
447,"Graduated"
448,"LastDoseFree"
449,"LastDoseFree"
450,"FirstDoseFree.first_dose_free"
451,"LastDoseFree"
452,"FirstDoseFree.first_dose_free"
453,"Graduated"
454,"Graduated"
455,"Graduated"
456,"Graduated"
457,"FirstDoseFree.first_dose_free"
458,"Graduated"
459,"Graduated"
460,"LastDoseFree"
461,"FirstDoseFree.first_dose_free"
462,"LastDoseFree"
463,"Graduated"
464,"Graduated"
465,"LastDoseFree"
466,"LastDoseFree"
467,"LastDoseFree"
468,"Control"
469,"LastDoseFree"
470,"Graduated"
471,"Graduated"
472,"LastDoseFree"
473,"Graduated"
474,"LastDoseFree"
475,"Graduated"
476,"FirstDoseFree.first_dose_free"
477,"Graduated"
478,"Graduated"
479,"LastDoseFree"
480,"Graduated"
481,"LastDoseFree"
482,"Graduated"
483,"LastDoseFree"
484,"Graduated"
485,"Graduated"
486,"Graduated"
487,"Graduated"
488,"FirstDoseFree.first_dose_free"
489,"LastDoseFree"
490,"Graduated"
491,"Graduated"
492,"Graduated"
493,"FirstDoseFree.first_dose_free"
494,"Graduated"
495,"Graduated"
496,"Control"
497,"Graduated"
498,"LastDoseFree"
499,"LastDoseFree"
500,"Graduated"
501,"LastDoseFree"
502,"LastDoseFree"
503,"Control"
504,"FirstDoseFree.first_dose_free"
505,"Graduated"
506,"LastDoseFree"
507,"LastDoseFree"
508,"Graduated"
509,"Graduated"
510,"Graduated"
511,"Graduated"
512,"Graduated"
513,"Graduated"
514,"FirstDoseFree.first_dose_free"
515,"Graduated"
516,"Graduated"
517,"FirstDoseFree.first_dose_free"
518,"LastDoseFree"
519,"LastDoseFree"
520,"LastDoseFree"
521,"LastDoseFree"
522,"Graduated"
523,"Graduated"
524,"FirstDoseFree.first_dose_free"
525,"Graduated"
526,"Graduated"
527,"LastDoseFree"
528,"Graduated"
529,"Graduated"
530,"FirstDoseFree.first_dose_free"
531,"FirstDoseFree.first_dose_free"
532,"Graduated"
533,"LastDoseFree"
534,"LastDoseFree"
535,"FirstDoseFree.first_dose_free"
536,"Graduated"
537,"FirstDoseFree.first_dose_free"
538,"LastDoseFree"
539,"Graduated"
540,"Graduated"
541,"FirstDoseFree.first_dose_free"
542,"LastDoseFree"
543,"LastDoseFree"
544,"FirstDoseFree.first_dose_free"
545,"Graduated"
546,"Graduated"
547,"LastDoseFree"
548,"LastDoseFree"
549,"FirstDoseFree.first_dose_free"
550,"FirstDoseFree.first_dose_free"
551,"LastDoseFree"
552,"Graduated"
553,"Graduated"
554,"Graduated"
555,"LastDoseFree"
556,"LastDoseFree"
557,"Graduated"
558,"FirstDoseFree.first_dose_free"
559,"LastDoseFree"
560,"Graduated"
561,"Control"
562,"LastDoseFree"
563,"LastDoseFree"
564,"Graduated"
565,"LastDoseFree"
566,"Graduated"
567,"Graduated"
568,"Graduated"
569,"FirstDoseFree.first_dose_free"
570,"LastDoseFree"
571,"FirstDoseFree.first_dose_free"
572,"LastDoseFree"
573,"Graduated"
574,"Graduated"
575,"Graduated"
576,"Graduated"
577,"Graduated"
578,"Graduated"
579,"Graduated"
580,"LastDoseFree"
581,"LastDoseFree"
582,"LastDoseFree"
583,"Graduated"
584,"Graduated"
585,"Graduated"
586,"Graduated"
587,"Graduated"
588,"LastDoseFree"
589,"LastDoseFree"
590,"Graduated"
591,"LastDoseFree"
592,"Graduated"
593,"Graduated"
594,"LastDoseFree"
595,"FirstDoseFree.first_dose_free"
596,"Graduated"
597,"Graduated"
598,"LastDoseFree"
599,"LastDoseFree"
600,"FirstDoseFree.first_dose_free"
601,"LastDoseFree"
602,"FirstDoseFree.first_dose_free"
603,"FirstDoseFree.first_dose_free"
604,"Graduated"
605,"LastDoseFree"
606,"Graduated"
607,"LastDoseFree"
608,"LastDoseFree"
609,"FirstDoseFree.first_dose_free"
610,"Graduated"
611,"Control"
612,"LastDoseFree"
613,"Graduated"
614,"FirstDoseFree.first_dose_free"
615,"FirstDoseFree.first_dose_free"
616,"LastDoseFree"
617,"Graduated"
618,"Graduated"
619,"LastDoseFree"
620,"Graduated"
621,"FirstDoseFree.first_dose_free"
622,"LastDoseFree"
623,"FirstDoseFree.first_dose_free"
624,"LastDoseFree"
625,"LastDoseFree"
626,"Graduated"
627,"LastDoseFree"
628,"LastDoseFree"
629,"FirstDoseFree.first_dose_free"
630,"Graduated"
631,"FirstDoseFree.first_dose_free"
632,"FirstDoseFree.first_dose_free"
633,"Graduated"
634,"LastDoseFree"
635,"LastDoseFree"
636,"Graduated"
637,"FirstDoseFree.first_dose_free"
638,"Graduated"
639,"FirstDoseFree.first_dose_free"
640,"LastDoseFree"
641,"LastDoseFree"
642,"LastDoseFree"
643,"LastDoseFree"
644,"LastDoseFree"
645,"LastDoseFree"
646,"LastDoseFree"
647,"LastDoseFree"
648,"LastDoseFree"
649,"LastDoseFree"
650,"LastDoseFree"
651,"LastDoseFree"
652,"FirstDoseFree.first_dose_free"
653,"Graduated"
654,"FirstDoseFree.first_dose_free"
655,"Graduated"
656,"LastDoseFree"
657,"LastDoseFree"
658,"LastDoseFree"
659,"FirstDoseFree.first_dose_free"
660,"FirstDoseFree.first_dose_free"
661,"Graduated"
662,"Graduated"
663,"Graduated"
664,"FirstDoseFree.first_dose_free"
665,"LastDoseFree"
666,"LastDoseFree"
667,"Graduated"
668,"Graduated"
669,"LastDoseFree"
670,"Graduated"
671,"Graduated"
672,"LastDoseFree"
673,"Control"
674,"Control"
675,"LastDoseFree"
676,"Graduated"
677,"Graduated"
678,"Graduated"
679,"Graduated"
680,"Graduated"
681,"FirstDoseFree.first_dose_free"
682,"LastDoseFree"
683,"Graduated"
684,"LastDoseFree"
685,"Graduated"
686,"Graduated"
687,"LastDoseFree"
688,"Graduated"
689,"LastDoseFree"
690,"FirstDoseFree.first_dose_free"
691,"Graduated"
692,"LastDoseFree"
693,"LastDoseFree"
694,"LastDoseFree"
695,"FirstDoseFree.first_dose_free"
696,"LastDoseFree"
697,"FirstDoseFree.first_dose_free"
698,"Graduated"
699,"Graduated"
700,"FirstDoseFree.first_dose_free"
701,"FirstDoseFree.first_dose_free"
702,"LastDoseFree"
703,"Control"
704,"Graduated"
705,"FirstDoseFree.first_dose_free"
706,"LastDoseFree"
707,"LastDoseFree"
708,"Graduated"
709,"LastDoseFree"
710,"Control"
711,"LastDoseFree"
712,"LastDoseFree"
713,"LastDoseFree"
714,"FirstDoseFree.first_dose_free"
715,"LastDoseFree"
716,"FirstDoseFree.first_dose_free"
717,"Control"
718,"LastDoseFree"
719,"LastDoseFree"
720,"LastDoseFree"
721,"FirstDoseFree.first_dose_free"
722,"FirstDoseFree.first_dose_free"
723,"FirstDoseFree.first_dose_free"
724,"LastDoseFree"
725,"LastDoseFree"
726,"LastDoseFree"
727,"FirstDoseFree.first_dose_free"
728,"LastDoseFree"
729,"Graduated"
730,"LastDoseFree"
731,"LastDoseFree"
732,"LastDoseFree"
733,"Graduated"
734,"Graduated"
735,"FirstDoseFree.first_dose_free"
736,"Graduated"
737,"LastDoseFree"
738,"LastDoseFree"
739,"LastDoseFree"
740,"LastDoseFree"
741,"Control"
742,"LastDoseFree"
743,"LastDoseFree"
744,"Control"
745,"LastDoseFree"
746,"LastDoseFree"
747,"Graduated"
748,"LastDoseFree"
749,"Graduated"
750,"Graduated"
751,"FirstDoseFree.first_dose_free"
752,"LastDoseFree"
753,"Graduated"
754,"LastDoseFree"
755,"Graduated"
756,"FirstDoseFree.first_dose_free"
757,"LastDoseFree"
758,"Graduated"
759,"FirstDoseFree.first_dose_free"
760,"LastDoseFree"
761,"Graduated"
762,"LastDoseFree"
763,"Graduated"
764,"LastDoseFree"
765,"Graduated"
766,"FirstDoseFree.first_dose_free"
767,"LastDoseFree"
768,"LastDoseFree"
769,"LastDoseFree"
770,"LastDoseFree"
771,"Graduated"
772,"Graduated"
773,"Graduated"
774,"Graduated"
775,"FirstDoseFree.first_dose_free"
776,"LastDoseFree"
777,"Graduated"
778,"Graduated"
779,"LastDoseFree"
780,"LastDoseFree"
781,"FirstDoseFree.first_dose_free"
782,"FirstDoseFree.first_dose_free"
783,"LastDoseFree"
784,"Graduated"
785,"Graduated"
786,"FirstDoseFree.first_dose_free"
787,"Graduated"
788,"LastDoseFree"
789,"LastDoseFree"
790,"LastDoseFree"
791,"LastDoseFree"
792,"Graduated"
793,"LastDoseFree"
794,"Control"
795,"Graduated"
796,"Graduated"
797,"Graduated"
798,"LastDoseFree"
799,"Graduated"
800,"Graduated"
801,"LastDoseFree"
802,"LastDoseFree"
803,"Graduated"
804,"LastDoseFree"
805,"FirstDoseFree.first_dose_free"
806,"Graduated"
807,"LastDoseFree"
808,"FirstDoseFree.first_dose_free"
809,"Graduated"
810,"FirstDoseFree.first_dose_free"
811,"LastDoseFree"
812,"Graduated"
813,"Control"
814,"Graduated"
815,"LastDoseFree"
816,"LastDoseFree"
817,"FirstDoseFree.first_dose_free"
818,"LastDoseFree"
819,"FirstDoseFree.first_dose_free"
820,"LastDoseFree"
821,"Graduated"
822,"Graduated"
823,"FirstDoseFree.first_dose_free"
824,"LastDoseFree"
825,"Graduated"
826,"LastDoseFree"
827,"Graduated"
828,"LastDoseFree"
829,"FirstDoseFree.first_dose_free"
830,"FirstDoseFree.first_dose_free"
831,"FirstDoseFree.first_dose_free"
832,"Graduated"
833,"FirstDoseFree.first_dose_free"
834,"Graduated"
835,"LastDoseFree"
836,"FirstDoseFree.first_dose_free"
837,"LastDoseFree"
838,"Graduated"
839,"LastDoseFree"
840,"FirstDoseFree.first_dose_free"
841,"FirstDoseFree.first_dose_free"
842,"Graduated"
843,"Graduated"
844,"Graduated"
845,"Graduated"
846,"FirstDoseFree.first_dose_free"
847,"Graduated"
848,"LastDoseFree"
849,"Graduated"
850,"Graduated"
851,"Graduated"
852,"LastDoseFree"
853,"LastDoseFree"
854,"FirstDoseFree.first_dose_free"
855,"LastDoseFree"
856,"Graduated"
857,"Graduated"
858,"Graduated"
859,"LastDoseFree"
860,"Graduated"
861,"FirstDoseFree.first_dose_free"
862,"Graduated"
863,"Graduated"
864,"LastDoseFree"
865,"LastDoseFree"
866,"FirstDoseFree.first_dose_free"
867,"LastDoseFree"
868,"Graduated"
869,"LastDoseFree"
870,"Graduated"
871,"Graduated"
872,"LastDoseFree"
873,"LastDoseFree"
874,"Graduated"
875,"LastDoseFree"
876,"LastDoseFree"
877,"Graduated"
878,"LastDoseFree"
879,"Graduated"
880,"Graduated"
881,"Graduated"
882,"LastDoseFree"
883,"Graduated"
884,"Graduated"
885,"LastDoseFree"
886,"LastDoseFree"
887,"LastDoseFree"
888,"FirstDoseFree.first_dose_free"
889,"Graduated"
890,"LastDoseFree"
891,"Graduated"
892,"LastDoseFree"
893,"Graduated"
894,"LastDoseFree"
895,"LastDoseFree"
896,"Graduated"
897,"Control"
898,"FirstDoseFree.first_dose_free"
899,"Graduated"
900,"LastDoseFree"
901,"LastDoseFree"
902,"Graduated"
903,"Graduated"
904,"Graduated"
905,"FirstDoseFree.first_dose_free"
906,"LastDoseFree"
907,"FirstDoseFree.first_dose_free"
908,"Graduated"
909,"LastDoseFree"
910,"FirstDoseFree.first_dose_free"
911,"LastDoseFree"
912,"Graduated"
913,"LastDoseFree"
914,"LastDoseFree"
915,"Graduated"
916,"Graduated"
917,"Graduated"
918,"LastDoseFree"
919,"Graduated"
920,"LastDoseFree"
921,"Graduated"
922,"LastDoseFree"
923,"Graduated"
924,"Graduated"
925,"FirstDoseFree.first_dose_free"
926,"Control"
927,"Graduated"
928,"Graduated"
929,"FirstDoseFree.first_dose_free"
930,"LastDoseFree"
931,"Control"
932,"Graduated"
933,"Graduated"
934,"Graduated"
935,"LastDoseFree"
936,"LastDoseFree"
937,"Graduated"
938,"FirstDoseFree.first_dose_free"
939,"FirstDoseFree.first_dose_free"
940,"LastDoseFree"
941,"FirstDoseFree.first_dose_free"
942,"Graduated"
943,"LastDoseFree"
944,"LastDoseFree"
945,"Graduated"
946,"Graduated"
947,"LastDoseFree"
948,"Graduated"
949,"Graduated"
950,"Graduated"
951,"FirstDoseFree.first_dose_free"
952,"LastDoseFree"
953,"Graduated"
954,"Control"
955,"LastDoseFree"
956,"Graduated"
957,"LastDoseFree"
958,"LastDoseFree"
959,"Graduated"
960,"Graduated"
961,"Graduated"
962,"LastDoseFree"
963,"Graduated"
964,"Graduated"
965,"Graduated"
966,"FirstDoseFree.first_dose_free"
967,"FirstDoseFree.first_dose_free"
968,"FirstDoseFree.first_dose_free"
969,"LastDoseFree"
970,"LastDoseFree"
971,"LastDoseFree"
972,"FirstDoseFree.first_dose_free"
973,"Graduated"
974,"LastDoseFree"
975,"Graduated"
976,"Graduated"
977,"Control"
978,"Graduated"
979,"LastDoseFree"
980,"Graduated"
981,"LastDoseFree"
982,"LastDoseFree"
983,"FirstDoseFree.first_dose_free"
984,"Graduated"
985,"LastDoseFree"
986,"Graduated"
987,"Control"
988,"Graduated"
989,"FirstDoseFree.first_dose_free"
990,"LastDoseFree"
991,"FirstDoseFree.first_dose_free"
992,"Graduated"
993,"LastDoseFree"
994,"LastDoseFree"
995,"Graduated"
996,"FirstDoseFree.first_dose_free"
997,"LastDoseFree"
998,"Graduated"
999,"Control"
1000,"Graduated"
1001,"FirstDoseFree.first_dose_free"
1002,"Graduated"
1003,"Graduated"
1004,"Graduated"
1005,"Control"
1006,"Control"
1007,"LastDoseFree"
1008,"LastDoseFree"
1009,"FirstDoseFree.first_dose_free"
1010,"LastDoseFree"
1011,"Control"
1012,"Graduated"
1013,"LastDoseFree"
1014,"FirstDoseFree.first_dose_free"
1015,"LastDoseFree"
1016,"LastDoseFree"
1017,"Graduated"
1018,"Graduated"
1019,"Graduated"
1020,"LastDoseFree"
1021,"LastDoseFree"
1022,"Graduated"
1023,"FirstDoseFree.first_dose_free"
1024,"LastDoseFree"
1025,"FirstDoseFree.first_dose_free"
1026,"Graduated"
1027,"Graduated"
1028,"Graduated"
1029,"Graduated"
1030,"Graduated"
1031,"Graduated"
1032,"FirstDoseFree.first_dose_free"
1033,"Graduated"
1034,"LastDoseFree"
1035,"LastDoseFree"
1036,"LastDoseFree"
1037,"LastDoseFree"
1038,"LastDoseFree"
1039,"Graduated"
1040,"LastDoseFree"
1041,"FirstDoseFree.first_dose_free"
1042,"LastDoseFree"
1043,"LastDoseFree"
1044,"LastDoseFree"
1045,"Graduated"
1046,"LastDoseFree"
1047,"LastDoseFree"
1048,"LastDoseFree"
1049,"LastDoseFree"
1050,"Graduated"
1051,"LastDoseFree"
1052,"LastDoseFree"
1053,"Graduated"
1054,"FirstDoseFree.first_dose_free"
1055,"LastDoseFree"
1056,"FirstDoseFree.first_dose_free"
1057,"FirstDoseFree.first_dose_free"
1058,"Graduated"
1059,"LastDoseFree"
1060,"LastDoseFree"
1061,"Graduated"
1062,"Graduated"
1063,"FirstDoseFree.first_dose_free"
1064,"LastDoseFree"
1065,"LastDoseFree"
1066,"FirstDoseFree.first_dose_free"
1067,"LastDoseFree"
1068,"Graduated"
1069,"LastDoseFree"
1070,"Graduated"
1071,"Graduated"
1072,"LastDoseFree"
1073,"LastDoseFree"
1074,"FirstDoseFree.first_dose_free"
1075,"LastDoseFree"
1076,"LastDoseFree"
1077,"Graduated"
1078,"LastDoseFree"
1079,"Graduated"
1080,"FirstDoseFree.first_dose_free"
1081,"LastDoseFree"
1082,"LastDoseFree"
1083,"FirstDoseFree.first_dose_free"
1084,"Graduated"
1085,"Graduated"
1086,"LastDoseFree"
1087,"Graduated"
1088,"Graduated"
1089,"Graduated"
1090,"Graduated"
1091,"LastDoseFree"
1092,"LastDoseFree"
1093,"LastDoseFree"
1094,"Graduated"
1095,"Graduated"
1096,"LastDoseFree"
1097,"LastDoseFree"
1098,"FirstDoseFree.first_dose_free"
1099,"LastDoseFree"
1100,"Graduated"
1101,"LastDoseFree"
1102,"LastDoseFree"
1103,"LastDoseFree"
1104,"LastDoseFree"
1105,"Graduated"
1106,"Graduated"
1107,"Graduated"
1108,"Graduated"
1109,"LastDoseFree"
1110,"LastDoseFree"
1111,"LastDoseFree"
1112,"Graduated"
1113,"LastDoseFree"
1114,"Graduated"
1115,"LastDoseFree"
1116,"Graduated"
1117,"FirstDoseFree.first_dose_free"
1118,"FirstDoseFree.first_dose_free"
1119,"LastDoseFree"
1120,"FirstDoseFree.first_dose_free"
1121,"Graduated"
1122,"Graduated"
1123,"FirstDoseFree.first_dose_free"
1124,"Graduated"
1125,"Graduated"
1126,"Control"
1127,"LastDoseFree"
1128,"LastDoseFree"
1129,"Control"
1130,"LastDoseFree"
1131,"Graduated"
1132,"FirstDoseFree.first_dose_free"
1133,"LastDoseFree"
1134,"LastDoseFree"
1135,"Control"
1136,"FirstDoseFree.first_dose_free"
1137,"LastDoseFree"
